IDFR;DT_REF;IN_EVS;EST_CVL;CLS_GNR;RGAO_GEO;SGM_CLI;VL_SLR_MSL;QT_PRD_COM_BB;TMP_RLC_COM_BB;CTGR_MC_EPGR;RAMO_MC_EPGR;NM_CTRA;VL_CST_SVR;FXA_IDD;QT_RCLM_CLI;PRI_ATDT_CLI
8460;2023-12-01;0.0;SOLTEIRO;M;NORTE;4.0;1520.0;6.0;3.0;VAREJO;SERVICOS;NEGOCIAL;32.47;20-29;;0.0
1002;2023-10-01;0.0;SOLTEIRO;M;NORDESTE;1.0;6730.0;11.0;16.0;ATACADO;INDUSTRIA;PERSONALIZADO;32.6;40-49;0.0;0.0
5302;2023-12-01;1.0;SOLTEIRO;F;CENTRO-OESTE;4.0;4750.0;3.0;3.0;VAREJO;SERVICOS;NEGOCIAL;18.8;30-39;;0.0
6772;2023-12-01;0.0;CASADO;F;SUL;1.0;6670.0;8.0;41.0;ATACADO;SERVICOS;NEGOCIAL;122.93;60-69;;0.0
2980;2023-11-01;1.0;SOLTEIRO;M;SUL;2.0;5250.0;7.0;9.0;ATACADO;INDUSTRIA;ESTILO_A;92.5;40-49;;0.0
3785;2023-10-01;0.0;SOLTEIRO;F;SUL;2.0;3820.0;10.0;15.0;ATACADO;INDUSTRIA;ESTILO_A;69.4;30-39;;0.0
519;2023-11-01;1.0;SOLTEIRO;F;SUL;2.0;4090.0;4.0;0.0;ATACADO;SERVICOS;NEGOCIAL;11.37;30-39;4.0;1.0
8422;2023-10-01;0.0;SOLTEIRO;M;NORDESTE;3.0;1470.0;10.0;19.0;ATACADO;SERVICOS;NEGOCIAL;30.56;40-49;0.0;0.0
7265;2023-11-01;0.0;SOLTEIRO;M;SUL;3.0;2520.0;6.0;0.0;ATACADO;INDUSTRIA;NEGOCIAL;127.88;20-29;1.0;1.0
3098;2023-12-01;;;;;;;;;;;OUTROS;;;;
6388;2023-12-01;1.0;SOLTEIRO;M;SUDESTE;3.0;1730.0;3.0;1.0;ATACADO;INDUSTRIA;AGRO;12.36;20-29;;0.0
4653;2023-12-01;0.0;CASADO;M;SUDESTE;3.0;4440.0;7.0;0.0;VAREJO;INDUSTRIA;NEGOCIAL;37.03;20-29;;0.0
10465;2023-11-01;0.0;SOLTEIRO;M;SUL;2.0;7990.0;10.0;17.0;ATACADO;INDUSTRIA;AGRO;126.94;30-39;4.0;1.0
6083;2023-11-01;0.0;SOLTEIRO;F;CENTRO-OESTE;3.0;2110.0;6.0;1.0;ATACADO;SERVICOS;NEGOCIAL;66.12;20-29;1.0;0.0
356;2023-12-01;;;;;;;10.0;20.0;ATACADO;INDUSTRIA;PERSONALIZADO;94.74;;;
4499;2023-11-01;0.0;SOLTEIRO;F;SUL;4.0;2020.0;8.0;13.0;ATACADO;INDUSTRIA;NEGOCIAL;54.8;30-39;;0.0
10044;2023-10-01;0.0;SOLTEIRO;F;NORDESTE;1.0;8040.0;28.0;41.0;ATACADO;SERVICOS;AGRO;113.39;60-69;;0.0
5033;2023-12-01;0.0;CASADO;M;NORDESTE;2.0;5140.0;12.0;37.0;ATACADO;SERVICOS;AGRO;136.23;70-79;;0.0
10575;2023-10-01;0.0;CASADO;M;SUL;2.0;6880.0;12.0;17.0;VAREJO;SERVICOS;AGRO;54.97;30-39;;0.0
6132;2023-11-01;;;;;;;13.0;11.0;ATACADO;INDUSTRIA;NEGOCIAL;212.52;;;
1145;2023-12-01;1.0;SOLTEIRO;M;SUL;3.0;890.0;3.0;0.0;VAREJO;INDUSTRIA;NEGOCIAL;8.4;50-59;18.0;1.0
8575;2023-10-01;0.0;SOLTEIRO;F;SUDESTE;1.0;7550.0;15.0;18.0;VAREJO;SERVICOS;NEGOCIAL;112.16;30-39;;0.0
3515;2023-11-01;0.0;SOLTEIRO;F;NORDESTE;4.0;900.0;3.0;3.0;VAREJO;SERVICOS;NEGOCIAL;10.99;20-29;;0.0
747;2023-10-01;0.0;CASADO;M;SUDESTE;2.0;3050.0;3.0;0.0;ATACADO;INDUSTRIA;NEGOCIAL;9.17;50-59;;0.0
3945;2023-11-01;0.0;CASADO;F;NORDESTE;1.0;8700.0;10.0;22.0;VAREJO;SERVICOS;ESTILO_A;79.59;40-49;;0.0
9892;2023-10-01;1.0;CASADO;F;SUDESTE;4.0;1460.0;4.0;0.0;ATACADO;SERVICOS;NEGOCIAL;5.71;20-29;0.0;0.0
6123;2023-12-01;0.0;CASADO;F;SUL;3.0;3980.0;18.0;10.0;VAREJO;SERVICOS;ESTILO_B;183.08;50-59;;0.0
5015;2023-10-01;;;;;;;18.0;14.0;ATACADO;INDUSTRIA;EXCLUSIVO_A;181.9;;;
4413;2023-12-01;0.0;SOLTEIRO;M;NORDESTE;4.0;7950.0;6.0;16.0;ATACADO;INDUSTRIA;NEGOCIAL;45.18;40-49;;0.0
10655;2023-11-01;1.0;SOLTEIRO;F;SUDESTE;2.0;3470.0;10.0;5.0;VAREJO;SERVICOS;NEGOCIAL;155.73;30-39;;0.0
7453;2023-11-01;0.0;SOLTEIRO;F;NORDESTE;4.0;1870.0;9.0;21.0;ATACADO;COMERCIO;NEGOCIAL;23.55;40-49;0.0;0.0
8599;2023-11-01;0.0;SOLTEIRO;M;SUDESTE;2.0;9150.0;24.0;11.0;ATACADO;INDUSTRIA;NEGOCIAL;268.01;20-29;;0.0
9621;2023-12-01;;;;;;;14.0;21.0;ATACADO;INDUSTRIA;NEGOCIAL;123.27;;;
5691;2023-12-01;0.0;SOLTEIRO;F;SUDESTE;2.0;7090.0;10.0;14.0;ATACADO;SERVICOS;ESTILO_A;74.45;30-39;;0.0
5978;2023-11-01;0.0;SOLTEIRO;M;NORDESTE;3.0;1950.0;9.0;13.0;ATACADO;SERVICOS;AGRO;125.18;40-49;;0.0
10666;2023-11-01;0.0;SOLTEIRO;F;SUL;3.0;2520.0;8.0;22.0;ATACADO;INDUSTRIA;NEGOCIAL;44.42;50-59;;0.0
4774;2023-12-01;0.0;SOLTEIRO;F;SUDESTE;3.0;1890.0;4.0;3.0;VAREJO;SERVICOS;NEGOCIAL;25.3;30-39;1.0;1.0
5523;2023-11-01;;;;;;;;;;;OUTROS;;;;
9512;2023-11-01;0.0;SOLTEIRO;F;SUDESTE;1.0;8070.0;30.0;36.0;ATACADO;SERVICOS;ESTILO_A;109.53;50-59;;0.0
3489;2023-10-01;0.0;SOLTEIRO;F;SUDESTE;3.0;1940.0;3.0;12.0;ATACADO;SERVICOS;NEGOCIAL;9.96;30-39;;0.0
6082;2023-12-01;1.0;SOLTEIRO;M;SUL;2.0;3460.0;8.0;24.0;ATACADO;COMERCIO;NEGOCIAL;12.48;50-59;;0.0
4341;2023-12-01;;;;;;;;;;;OUTROS;;;;
6219;2023-11-01;1.0;CASADO;M;SUDESTE;3.0;4000.0;4.0;0.0;VAREJO;INDUSTRIA;NEGOCIAL;39.62;20-29;;0.0
4509;2023-11-01;0.0;SOLTEIRO;M;SUL;2.0;3860.0;11.0;21.0;ATACADO;INDUSTRIA;NEGOCIAL;108.41;40-49;;0.0
1481;2023-10-01;1.0;SOLTEIRO;M;SUDESTE;2.0;3890.0;7.0;11.0;VAREJO;SERVICOS;EXCLUSIVO_B;7.19;30-39;;0.0
9108;2023-10-01;0.0;SOLTEIRO;M;NORDESTE;2.0;1960.0;3.0;25.0;VAREJO;SERVICOS;EXCLUSIVO_A;15.16;50-59;;0.0
2348;2023-12-01;0.0;SOLTEIRO;M;SUDESTE;3.0;2090.0;4.0;0.0;ATACADO;SERVICOS;NEGOCIAL;17.6;20-29;;0.0
2635;2023-12-01;0.0;SOLTEIRO;M;SUL;3.0;5580.0;3.0;3.0;ATACADO;INDUSTRIA;NEGOCIAL;28.83;30-39;0.0;0.0
4043;2023-12-01;;;;;;;13.0;24.0;ATACADO;INDUSTRIA;EXCLUSIVO_B;30.02;;;
9884;2023-10-01;0.0;CASADO;M;SUDESTE;1.0;9480.0;33.0;45.0;ATACADO;SERVICOS;NEGOCIAL;124.68;70-79;1.0;1.0
8448;2023-11-01;0.0;SOLTEIRO;F;SUL;4.0;650.0;4.0;4.0;VAREJO;SERVICOS;EXCLUSIVO_B;31.7;20-29;;0.0
4342;2023-11-01;1.0;SOLTEIRO;M;NORDESTE;4.0;1870.0;7.0;0.0;ATACADO;SERVICOS;ESTILO_B;30.62;20-29;;0.0
10020;2023-10-01;1.0;SOLTEIRO;M;SUL;2.0;4740.0;4.0;0.0;VAREJO;INDUSTRIA;NEGOCIAL;5.72;20-29;1.0;0.0
4139;2023-10-01;;;;;;;18.0;66.0;ATACADO;SERVICOS;NEGOCIAL;138.38;;;
2291;2023-10-01;0.0;SOLTEIRO;M;SUL;1.0;2800.0;29.0;14.0;ATACADO;SERVICOS;PERSONALIZADO;225.55;30-39;;0.0
3954;2023-12-01;0.0;SOLTEIRO;M;SUDESTE;3.0;2620.0;5.0;0.0;ATACADO;INDUSTRIA;NEGOCIAL;78.42;20-29;;0.0
10942;2023-10-01;0.0;SOLTEIRO;M;SUDESTE;3.0;2200.0;7.0;0.0;VAREJO;SERVICOS;NEGOCIAL;32.98;30-39;;0.0
7716;2023-10-01;0.0;SOLTEIRO;M;NORTE;3.0;1720.0;6.0;5.0;ATACADO;SERVICOS;PERSONALIZADO;15.75;30-39;;0.0
1890;2023-11-01;1.0;SOLTEIRO;F;CENTRO-OESTE;4.0;1840.0;3.0;0.0;VAREJO;SERVICOS;NEGOCIAL;34.59;10-19;0.0;0.0
9865;2023-10-01;0.0;SOLTEIRO;F;SUL;4.0;1590.0;1.0;0.0;VAREJO;COMERCIO;NEGOCIAL;94.98;40-49;;0.0
9843;2023-11-01;0.0;SOLTEIRO;F;SUL;3.0;2890.0;9.0;13.0;ATACADO;SERVICOS;NEGOCIAL;88.14;40-49;;0.0
9382;2023-10-01;1.0;CASADO;M;SUL;4.0;1490.0;4.0;16.0;ATACADO;INDUSTRIA;NEGOCIAL;200.61;30-39;;0.0
7169;2023-10-01;0.0;CASADO;M;NORDESTE;1.0;7580.0;18.0;26.0;VAREJO;SERVICOS;NEGOCIAL;86.85;60-69;0.0;0.0
5753;2023-10-01;0.0;SOLTEIRO;F;NORDESTE;3.0;1930.0;11.0;20.0;ATACADO;SERVICOS;AGRO;19.1;50-59;0.0;0.0
1093;2023-11-01;;;;;;;;;;;OUTROS;;;;
4922;2023-12-01;0.0;CASADO;F;SUL;4.0;1270.0;9.0;30.0;VAREJO;SERVICOS;EXCLUSIVO_A;194.09;50-59;;0.0
4091;2023-11-01;0.0;CASADO;M;SUL;1.0;2120.0;12.0;20.0;ATACADO;COMERCIO;NEGOCIAL;251.55;40-49;;0.0
5843;2023-10-01;0.0;SOLTEIRO;M;NORTE;3.0;3160.0;8.0;22.0;ATACADO;INDUSTRIA;NEGOCIAL;12.27;40-49;2.0;0.0
7336;2023-12-01;0.0;CASADO;M;CENTRO-OESTE;4.0;3760.0;5.0;8.0;ATACADO;COMERCIO;NEGOCIAL;93.67;30-39;;0.0
848;2023-11-01;1.0;SOLTEIRO;F;SUDESTE;1.0;9530.0;4.0;8.0;VAREJO;SERVICOS;NEGOCIAL;11.25;30-39;;0.0
3795;2023-12-01;;;;;;;;;;;OUTROS;;;;
4301;2023-11-01;0.0;SOLTEIRO;F;CENTRO-OESTE;4.0;3750.0;3.0;0.0;VAREJO;COMERCIO;NEGOCIAL;190.98;50-59;;0.0
8063;2023-11-01;0.0;SOLTEIRO;M;SUDESTE;1.0;9080.0;10.0;15.0;ATACADO;SERVICOS;PRIVATE;127.89;30-39;;0.0
10214;2023-11-01;0.0;SOLTEIRO;M;SUDESTE;3.0;4300.0;8.0;13.0;ATACADO;INDUSTRIA;NEGOCIAL;204.03;50-59;;0.0
4037;2023-11-01;0.0;SOLTEIRO;F;SUL;3.0;2450.0;5.0;0.0;ATACADO;INDUSTRIA;NEGOCIAL;56.48;30-39;;0.0
10001;2023-12-01;0.0;VIUVO;F;SUL;2.0;580.0;11.0;24.0;VAREJO;SERVICOS;NEGOCIAL;34.27;80-89;;0.0
5322;2023-12-01;1.0;SOLTEIRO;M;SUL;3.0;2850.0;3.0;1.0;VAREJO;SERVICOS;PERSONALIZADO;14.58;20-29;;0.0
4310;2023-11-01;0.0;CASADO;F;SUDESTE;4.0;2080.0;7.0;25.0;VAREJO;SERVICOS;NEGOCIAL;38.59;40-49;;0.0
8357;2023-11-01;0.0;SOLTEIRO;M;NORTE;3.0;5560.0;6.0;1.0;ATACADO;INDUSTRIA;PERSONALIZADO;17.48;20-29;;0.0
11135;2023-10-01;0.0;SOLTEIRO;F;SUL;1.0;4410.0;9.0;10.0;VAREJO;SERVICOS;NEGOCIAL;63.06;20-29;6.0;1.0
2034;2023-12-01;;;;;;;13.0;40.0;ATACADO;SERVICOS;NEGOCIAL;230.96;;;
9605;2023-11-01;0.0;SOLTEIRO;F;SUDESTE;3.0;610.0;5.0;27.0;ATACADO;SERVICOS;NEGOCIAL;12.41;80-89;;0.0
1698;2023-10-01;1.0;SOLTEIRO;F;SUDESTE;4.0;7660.0;4.0;0.0;VAREJO;SERVICOS;NEGOCIAL;7.17;20-29;;0.0
3747;2023-12-01;0.0;CASADO;M;SUL;3.0;6190.0;9.0;16.0;VAREJO;SERVICOS;NEGOCIAL;127.8;50-59;;0.0
10299;2023-10-01;1.0;SOLTEIRO;F;SUL;3.0;1840.0;4.0;10.0;ATACADO;SERVICOS;PERSONALIZADO;7.29;30-39;;0.0
1237;2023-12-01;;;;;;;8.0;14.0;VAREJO;SERVICOS;NEGOCIAL;217.01;;;
10646;2023-12-01;0.0;SOLTEIRO;F;SUL;3.0;560.0;5.0;0.0;VAREJO;SERVICOS;ESTILO_B;112.94;10-19;;0.0
10021;2023-10-01;0.0;SOLTEIRO;F;SUDESTE;3.0;1440.0;6.0;0.0;VAREJO;SERVICOS;PRIVATE;19.7;50-59;;0.0
2494;2023-11-01;;;;;;;;;;;OUTROS;;;;
4097;2023-10-01;0.0;CASADO;M;NORDESTE;3.0;5430.0;10.0;7.0;VAREJO;SERVICOS;AGRO;62.6;30-39;;0.0
5413;2023-12-01;1.0;SOLTEIRO;M;NORDESTE;4.0;2380.0;16.0;6.0;ATACADO;COMERCIO;EXCLUSIVO_B;82.22;20-29;;0.0
2491;2023-12-01;;;;;;;;;;;OUTROS;;;;
6961;2023-11-01;0.0;SOLTEIRO;M;SUDESTE;3.0;5760.0;5.0;10.0;ATACADO;INDUSTRIA;NEGOCIAL;19.64;30-39;7.0;0.0
3880;2023-11-01;;;;;;;11.0;41.0;ATACADO;SERVICOS;NEGOCIAL;272.09;;;
2140;2023-12-01;0.0;VIUVO;F;SUDESTE;1.0;2370.0;26.0;14.0;ATACADO;SERVICOS;NEGOCIAL;257.01;60-69;;0.0
10965;2023-10-01;0.0;SOLTEIRO;F;NORDESTE;4.0;1380.0;7.0;5.0;ATACADO;INDUSTRIA;NEGOCIAL;8.72;20-29;;0.0
5030;2023-12-01;0.0;SOLTEIRO;F;SUL;4.0;1300.0;4.0;1.0;VAREJO;SERVICOS;NEGOCIAL;9.12;20-29;;0.0
2752;2023-11-01;0.0;SOLTEIRO;M;NORTE;2.0;4700.0;14.0;18.0;ATACADO;SERVICOS;NEGOCIAL;168.62;50-59;;0.0
8337;2023-11-01;0.0;SOLTEIRO;M;NORDESTE;3.0;3290.0;6.0;26.0;ATACADO;SERVICOS;PRIVATE;164.21;40-49;35.0;1.0
948;2023-11-01;1.0;SOLTEIRO;M;SUDESTE;3.0;4000.0;14.0;1.0;ATACADO;INDUSTRIA;ESTILO_B;40.71;20-29;;0.0
9770;2023-11-01;1.0;SOLTEIRO;F;SUDESTE;4.0;2090.0;4.0;0.0;VAREJO;SERVICOS;NEGOCIAL;16.9;20-29;0.0;0.0
9619;2023-10-01;;;;;;;23.0;15.0;ATACADO;INDUSTRIA;NEGOCIAL;178.63;;;
6002;2023-10-01;;;;;;;12.0;29.0;ATACADO;SERVICOS;NEGOCIAL;191.03;;;
2945;2023-10-01;0.0;SEPARADO;F;SUDESTE;4.0;1510.0;7.0;17.0;ATACADO;INDUSTRIA;NEGOCIAL;10.73;50-59;;0.0
8727;2023-11-01;1.0;SOLTEIRO;F;SUDESTE;3.0;2610.0;6.0;5.0;ATACADO;INDUSTRIA;NEGOCIAL;11.39;20-29;;0.0
7934;2023-10-01;0.0;SOLTEIRO;M;SUDESTE;4.0;2550.0;6.0;0.0;ATACADO;COMERCIO;NEGOCIAL;9.44;20-29;;0.0
9078;2023-11-01;0.0;CASADO;M;SUDESTE;4.0;1410.0;4.0;0.0;ATACADO;COMERCIO;NEGOCIAL;12.79;30-39;;0.0
1061;2023-11-01;0.0;SOLTEIRO;M;CENTRO-OESTE;3.0;920.0;8.0;11.0;ATACADO;INDUSTRIA;NEGOCIAL;40.43;30-39;;0.0
1119;2023-10-01;0.0;SOLTEIRO;M;CENTRO-OESTE;3.0;790.0;6.0;1.0;ATACADO;INDUSTRIA;NEGOCIAL;18.09;20-29;;0.0
10079;2023-10-01;0.0;SOLTEIRO;F;NORDESTE;3.0;1200.0;4.0;0.0;VAREJO;SERVICOS;NEGOCIAL;25.45;30-39;0.0;0.0
4528;2023-11-01;0.0;SOLTEIRO;M;CENTRO-OESTE;3.0;3650.0;8.0;19.0;ATACADO;COMERCIO;NEGOCIAL;38.47;40-49;;0.0
2533;2023-11-01;0.0;SEPARADO;F;SUDESTE;4.0;1380.0;7.0;1.0;ATACADO;COMERCIO;NEGOCIAL;128.68;30-39;;0.0
3471;2023-11-01;1.0;SOLTEIRO;M;NORDESTE;3.0;2290.0;4.0;0.0;VAREJO;SERVICOS;NEGOCIAL;43.57;20-29;;0.0
396;2023-11-01;0.0;CASADO;M;NORDESTE;1.0;9370.0;22.0;27.0;ATACADO;SERVICOS;NEGOCIAL;260.8;60-69;0.0;0.0
1876;2023-11-01;0.0;SOLTEIRO;M;NORDESTE;3.0;1880.0;11.0;13.0;ATACADO;SERVICOS;EXCLUSIVO_B;52.01;50-59;;0.0
8651;2023-10-01;0.0;CASADO;M;SUDESTE;2.0;4830.0;7.0;26.0;ATACADO;SERVICOS;PERSONALIZADO;5.58;70-79;;0.0
1196;2023-11-01;1.0;SOLTEIRO;F;SUDESTE;3.0;1810.0;9.0;12.0;VAREJO;COMERCIO;ESTILO_A;30.06;30-39;;0.0
5735;2023-11-01;0.0;SOLTEIRO;F;CENTRO-OESTE;3.0;1700.0;6.0;0.0;ATACADO;INDUSTRIA;NEGOCIAL;35.68;20-29;;0.0
7379;2023-10-01;;;;;;;19.0;40.0;ATACADO;SERVICOS;NEGOCIAL;263.71;;;
5452;2023-12-01;0.0;SOLTEIRO;M;SUDESTE;4.0;4070.0;3.0;0.0;ATACADO;INDUSTRIA;NEGOCIAL;20.58;20-29;;0.0
61;2023-10-01;0.0;CASADO;M;SUDESTE;4.0;1280.0;3.0;0.0;ATACADO;INDUSTRIA;NEGOCIAL;5.54;50-59;;0.0
3283;2023-12-01;1.0;SOLTEIRO;M;SUL;3.0;3090.0;6.0;4.0;ATACADO;COMERCIO;NEGOCIAL;53.78;20-29;;0.0
3831;2023-10-01;0.0;SOLTEIRO;M;SUDESTE;3.0;2120.0;3.0;0.0;ATACADO;COMERCIO;NEGOCIAL;14.49;30-39;;0.0
3318;2023-11-01;;;;;;;10.0;60.0;ATACADO;SERVICOS;NEGOCIAL;275.29;;;
3837;2023-10-01;0.0;SOLTEIRO;M;SUL;2.0;6970.0;8.0;16.0;VAREJO;SERVICOS;NEGOCIAL;56.35;50-59;;0.0
385;2023-12-01;;;;;;;27.0;27.0;ATACADO;SERVICOS;NEGOCIAL;245.78;;;
10405;2023-10-01;0.0;SOLTEIRO;F;SUL;4.0;1140.0;4.0;0.0;ATACADO;SERVICOS;NEGOCIAL;1.64;20-29;;0.0
3699;2023-10-01;0.0;SOLTEIRO;M;SUL;2.0;6330.0;11.0;22.0;VAREJO;INDUSTRIA;ESTILO_A;41.91;40-49;;0.0
3119;2023-12-01;;;;;;;16.0;19.0;ATACADO;INDUSTRIA;NEGOCIAL;200.82;;;
10705;2023-11-01;0.0;CASADO;M;SUDESTE;3.0;1870.0;4.0;0.0;ATACADO;COMERCIO;NEGOCIAL;9.31;50-59;0.0;0.0
30;2023-10-01;;;;;;;19.0;36.0;VAREJO;SERVICOS;NEGOCIAL;168.19;;;
8369;2023-11-01;0.0;SEPARADO;M;SUL;1.0;1220.0;9.0;25.0;ATACADO;SERVICOS;NEGOCIAL;168.12;60-69;;0.0
6411;2023-12-01;0.0;SOLTEIRO;F;NORDESTE;3.0;4830.0;5.0;2.0;VAREJO;SERVICOS;NEGOCIAL;25.45;20-29;0.0;0.0
10139;2023-10-01;;;;;;;14.0;26.0;ATACADO;SERVICOS;NEGOCIAL;118.73;;;
5166;2023-11-01;0.0;SOLTEIRO;M;NORDESTE;4.0;60.0;3.0;7.0;ATACADO;COMERCIO;NEGOCIAL;13.61;20-29;;0.0
10752;2023-11-01;0.0;SOLTEIRO;M;NORTE;4.0;3040.0;4.0;16.0;ATACADO;INDUSTRIA;NEGOCIAL;139.27;30-39;0.0;0.0
5614;2023-10-01;0.0;SEPARADO;M;SUDESTE;4.0;1480.0;1.0;0.0;ATACADO;INDUSTRIA;NEGOCIAL;8.4;50-59;;0.0
5878;2023-11-01;0.0;SOLTEIRO;M;SUL;3.0;2380.0;15.0;4.0;ATACADO;INDUSTRIA;NEGOCIAL;97.48;30-39;4.0;1.0
7735;2023-11-01;0.0;SOLTEIRO;M;NORTE;3.0;3270.0;6.0;15.0;ATACADO;SERVICOS;ESTILO_A;21.52;30-39;;0.0
8048;2023-10-01;0.0;VIUVO;F;SUL;4.0;1650.0;4.0;0.0;ATACADO;SERVICOS;NEGOCIAL;7.12;50-59;;0.0
7726;2023-12-01;0.0;SOLTEIRO;F;SUDESTE;3.0;5440.0;5.0;3.0;ATACADO;INDUSTRIA;NEGOCIAL;12.85;20-29;0.0;0.0
2015;2023-12-01;0.0;SOLTEIRO;M;NORDESTE;4.0;1490.0;7.0;1.0;VAREJO;SERVICOS;NEGOCIAL;39.84;20-29;;0.0
1516;2023-12-01;0.0;SOLTEIRO;F;SUDESTE;4.0;2010.0;6.0;0.0;ATACADO;COMERCIO;NEGOCIAL;63.74;40-49;0.0;0.0
3643;2023-10-01;0.0;CASADO;F;CENTRO-OESTE;3.0;1630.0;5.0;16.0;VAREJO;SERVICOS;NEGOCIAL;11.88;30-39;0.0;0.0
2928;2023-10-01;0.0;SOLTEIRO;F;NORDESTE;4.0;1420.0;3.0;2.0;ATACADO;COMERCIO;EXCLUSIVO_B;26.04;20-29;;0.0
7557;2023-10-01;1.0;SOLTEIRO;M;SUDESTE;4.0;1510.0;4.0;0.0;VAREJO;SERVICOS;NEGOCIAL;5.71;20-29;0.0;0.0
2682;2023-12-01;0.0;SOLTEIRO;M;NORTE;3.0;5610.0;8.0;18.0;ATACADO;INDUSTRIA;NEGOCIAL;35.79;40-49;;0.0
6845;2023-10-01;0.0;SOLTEIRO;M;NORDESTE;2.0;4230.0;4.0;12.0;VAREJO;INDUSTRIA;NEGOCIAL;11.82;50-59;1.0;1.0
244;2023-10-01;0.0;SOLTEIRO;F;NORDESTE;1.0;8260.0;31.0;20.0;ATACADO;SERVICOS;ESTILO_A;151.3;40-49;;0.0
3800;2023-12-01;0.0;SOLTEIRO;F;NORTE;4.0;5160.0;7.0;4.0;VAREJO;SERVICOS;NEGOCIAL;47.65;20-29;0.0;0.0
4405;2023-10-01;0.0;SOLTEIRO;M;SUDESTE;3.0;2150.0;5.0;4.0;ATACADO;COMERCIO;PRIVATE;13.95;20-29;;0.0
5882;2023-10-01;;;;;;;;;;;OUTROS;;;;
9722;2023-11-01;0.0;CASADO;M;NORDESTE;3.0;2890.0;4.0;1.0;ATACADO;COMERCIO;ESTILO_B;37.94;30-39;;0.0
8466;2023-12-01;1.0;SOLTEIRO;M;CENTRO-OESTE;4.0;1850.0;7.0;14.0;ATACADO;COMERCIO;NEGOCIAL;12.05;30-39;;0.0
3210;2023-11-01;1.0;SOLTEIRO;F;NORDESTE;4.0;3240.0;4.0;0.0;VAREJO;SERVICOS;NEGOCIAL;11.35;20-29;;0.0
2007;2023-10-01;1.0;SOLTEIRO;F;SUL;3.0;1840.0;6.0;1.0;ATACADO;COMERCIO;NEGOCIAL;35.13;20-29;0.0;0.0
818;2023-10-01;;;;;;;20.0;30.0;ATACADO;SERVICOS;NEGOCIAL;187.68;;;
2902;2023-12-01;;;;;;;;;;;OUTROS;;;;
7981;2023-11-01;0.0;CASADO;M;NORDESTE;3.0;2080.0;10.0;3.0;ATACADO;INDUSTRIA;EXCLUSIVO_B;53.51;70-79;;0.0
1005;2023-10-01;0.0;SOLTEIRO;F;CENTRO-OESTE;4.0;1020.0;2.0;0.0;VAREJO;SERVICOS;NEGOCIAL;8.89;50-59;0.0;0.0
7205;2023-10-01;0.0;SOLTEIRO;M;SUDESTE;3.0;1050.0;19.0;10.0;ATACADO;INDUSTRIA;ESTILO_B;24.0;20-29;;0.0
8380;2023-10-01;0.0;CASADO;M;SUDESTE;2.0;6900.0;10.0;24.0;ATACADO;SERVICOS;NEGOCIAL;59.54;50-59;;0.0
10030;2023-10-01;0.0;CASADO;M;CENTRO-OESTE;3.0;2170.0;5.0;27.0;ATACADO;SERVICOS;EXCLUSIVO_B;59.01;60-69;;0.0
1909;2023-10-01;0.0;CASADO;F;SUDESTE;1.0;5120.0;52.0;36.0;ATACADO;SERVICOS;NEGOCIAL;244.2;60-69;;0.0
10795;2023-10-01;0.0;SOLTEIRO;M;SUDESTE;1.0;7840.0;9.0;2.0;VAREJO;SERVICOS;NEGOCIAL;50.79;20-29;;0.0
286;2023-10-01;0.0;CASADO;F;CENTRO-OESTE;1.0;2780.0;13.0;2.0;VAREJO;SERVICOS;NEGOCIAL;98.25;40-49;;0.0
